	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Acoustics	490.0	559.0	665.0	842.0	1077.0	1314.0	1334.0	1711.0	1939.0	2166.0	2795.0
Agricultural Engineering	626.0	689.0	1006.0	834.0	942.0	1126.0	1174.0	1574.0	1685.0	1806.0	2310.0
Agriculture Dairy Animal Science	458.0	581.0	559.0	600.0	700.0	844.0	1042.0	1309.0	1899.0	2048.0	2163.0
Agriculture Multidisciplinary	918.0	808.0	914.0	1111.0	1091.0	1274.0	1443.0	1959.0	2302.0	2520.0	2512.0
Agronomy	860.0	916.0	1256.0	1196.0	1499.0	1521.0	1685.0	2062.0	2869.0	3118.0	4333.0
Allergy	110.0	102.0	128.0	175.0	177.0	204.0	210.0	293.0	307.0	392.0	453.0
Anatomy Morphology	123.0	163.0	159.0	140.0	143.0	167.0	186.0	184.0	285.0	297.0	350.0
Andrology	84.0	110.0	102.0	110.0			163.0			332.0	473.0
Anesthesiology	191.0	233.0	238.0	310.0	308.0	483.0	436.0	405.0	437.0	627.0	722.0
Anthropology	101.0			135.0							
Area Studies	143.0	174.0	198.0	194.0	223.0	259.0	243.0	313.0	387.0	408.0	431.0
Astronomy Astrophysics	1612.0	1766.0	1905.0	2109.0	2322.0	2524.0	2685.0	3115.0	3657.0	3877.0	4303.0
Audiology Speech Language Pathology	89.0	127.0	123.0		130.0	149.0	216.0	215.0	267.0		
Automation Control Systems	1537.0	1829.0	2374.0	2745.0	3312.0	3880.0	5255.0	5673.0	6738.0	7503.0	9091.0
Behavioral Sciences	190.0	201.0	257.0	328.0	375.0	378.0	470.0	476.0	657.0	668.0	770.0
Biochemical Research Methods	2134.0	2250.0	2431.0	2714.0	2772.0	2919.0	2845.0	3121.0	3668.0	3700.0	4153.0
Biochemistry Molecular Biology	7365.0	8969.0	9551.0	11171.0	12286.0	11636.0	12072.0	15107.0	20025.0	19820.0	20806.0
Biodiversity Conservation	169.0	207.0	281.0	349.0	443.0	446.0	545.0	809.0	954.0	1236.0	1669.0
Biology	906.0	1070.0	1249.0	1249.0	1427.0	1629.0	2074.0	2118.0	2761.0	3262.0	3262.0
Biophysics	1770.0	1837.0	2422.0	2968.0	3233.0	2964.0	3035.0	3626.0	3709.0	3462.0	3322.0
Biotechnology Applied Microbiology	4552.0	4220.0	5730.0	6196.0	6923.0	7390.0	9049.0	8734.0	10668.0	12152.0	12805.0
Business	325.0	320.0	412.0	451.0	549.0	675.0	776.0	967.0	1482.0	1829.0	2287.0
Business Finance	227.0	247.0	300.0	326.0	383.0	482.0	556.0	653.0	976.0	1365.0	1815.0
Cardiac Cardiovascular Systems	2192.0	2368.0	3550.0	3559.0	3432.0	2915.0	2939.0	3552.0	3194.0	4295.0	4988.0
Cell Biology	3047.0	3886.0	4370.0	5395.0	7058.0	8851.0	12177.0	9606.0	12852.0	14267.0	14176.0
Cell Tissue Engineering	204.0	295.0	309.0	448.0	724.0	708.0	772.0	983.0	1229.0	1540.0	1684.0
Chemistry Analytical	4737.0	5154.0	6135.0	6815.0	7620.0	8189.0	8824.0	10709.0	12171.0	12119.0	13134.0
Chemistry Applied	2801.0	3153.0	3585.0	3813.0	4090.0	4641.0	5463.0	6584.0	8719.0	9523.0	11415.0
Chemistry Inorganic Nuclear	3359.0	3383.0	3705.0	3779.0	3678.0	3627.0	3769.0	4085.0	4592.0	4612.0	5137.0
Chemistry Medicinal	2463.0	2569.0	2868.0	3082.0	3281.0	3293.0	3320.0	3780.0	5091.0	5051.0	5520.0
Chemistry Multidisciplinary	11159.0	12961.0	15399.0	18735.0	22822.0	24773.0	24821.0	28701.0	34511.0	33728.0	36897.0
Chemistry Organic	3663.0	4005.0	4228.0	4776.0	4740.0	5184.0	5548.0	6130.0	6531.0	6342.0	7219.0
Chemistry Physical	11570.0	12488.0	13591.0	16095.0	18284.0	19282.0	23540.0	27071.0	33065.0	34084.0	42203.0
Clinical Neurology	1623.0	1638.0	2189.0	2383.0	2668.0	2947.0	3390.0	3888.0	4972.0	6016.0	5960.0
Communication	116.0	141.0	132.0	158.0	179.0	235.0	237.0	312.0	365.0	474.0	511.0
Computer Science Artificial Intelligence	2240.0	2374.0	2662.0	3352.0	4110.0	4964.0	5180.0	6516.0	7977.0	10816.0	14699.0
Computer Science Cybernetics	154.0	253.0	208.0	278.0	343.0	394.0	621.0	527.0	776.0	1053.0	2477.0
Computer Science Hardware Architecture	668.0	734.0	997.0	1080.0	1317.0	1496.0	1581.0	1962.0	1852.0	2407.0	4017.0
Computer Science Information Systems	1776.0	2322.0	2981.0	3633.0	4284.0	5429.0	7024.0	11215.0	20224.0	20883.0	17597.0
Computer Science Interdisciplinary Applications	1726.0	1788.0	2187.0	2279.0	2533.0	2807.0	3496.0	4235.0	5256.0	6602.0	7616.0
Computer Science Software Engineering	1241.0	1313.0	1633.0	1759.0	1949.0	2499.0	2674.0	3132.0	3742.0	4149.0	4883.0
Computer Science Theory Methods	1020.0	1082.0	1294.0	1672.0	1887.0	2368.0	2905.0	3339.0	4647.0	4573.0	5796.0
Construction Building Technology	668.0	925.0	1119.0	1353.0	1659.0	2188.0	2737.0	4110.0	4983.0	6752.0	8610.0
Critical Care Medicine	471.0	376.0	423.0	548.0	546.0	1036.0	614.0	677.0	793.0	1063.0	605.0
Crystallography	3718.0	2180.0	1920.0	1955.0	1611.0	1733.0	1856.0	2109.0	2220.0	2172.0	2444.0
Dentistry Oral Surgery Medicine	576.0	620.0	684.0	822.0	760.0	727.0	818.0	870.0	1204.0	1349.0	1465.0
Dermatology	440.0	856.0	522.0	765.0	586.0	660.0	635.0	774.0	1158.0	1250.0	1286.0
Development Studies	73.0		107.0	157.0	185.0	197.0	177.0	199.0	280.0	340.0	393.0
Developmental Biology	235.0	259.0	337.0	352.0	372.0	436.0	459.0	389.0	522.0	1208.0	2565.0
Ecology	938.0	1073.0	1218.0	1454.0	1700.0	1668.0	1820.0	2125.0	3249.0	3042.0	3390.0
Economics	843.0	1128.0	1339.0	1612.0	1605.0	1944.0	2106.0	2632.0	3467.0	3993.0	4745.0
Education Educational Research	279.0	305.0	338.0	404.0	450.0	579.0	839.0	1085.0	1325.0	1613.0	1822.0
Education Scientific Disciplines									280.0	502.0	629.0
Electrochemistry	2618.0	3301.0	4175.0	4658.0	5018.0	5601.0	6263.0	6805.0	7567.0	7151.0	7784.0
Emergency Medicine	147.0	143.0	177.0	156.0	180.0	192.0	200.0			329.0	401.0
Endocrinology Metabolism	1416.0	1517.0	1860.0	2205.0	2252.0	2582.0	2620.0	3113.0	4045.0	4723.0	5143.0
Energy Fuels	3540.0	4331.0	6416.0	8086.0	9332.0	10688.0	13450.0	16222.0	20066.0	22190.0	27895.0
Engineering Aerospace	401.0	495.0	664.0	804.0	1045.0	1164.0	1390.0	1738.0	2194.0	1933.0	2345.0
Engineering Biomedical	1009.0	1326.0	1530.0	2172.0	2306.0	2210.0	3436.0	2599.0	3019.0	3461.0	4571.0
Engineering Chemical	4827.0	5453.0	6692.0	7781.0	8734.0	10174.0	12073.0	14180.0	17705.0	19748.0	25709.0
Engineering Civil	1360.0	1768.0	2337.0	2799.0	3546.0	4398.0	5309.0	7717.0	8982.0	11922.0	15883.0
Engineering Electrical Electronic	7997.0	9659.0	11109.0	13690.0	15953.0	18789.0	22750.0	29634.0	39242.0	42987.0	45844.0
Engineering Environmental	2196.0	2429.0	2699.0	2992.0	3537.0	4536.0	5563.0	7182.0	8992.0	12395.0	17969.0
Engineering Geological	295.0	378.0	546.0	704.0	877.0	1092.0	1451.0	1768.0	2418.0	3177.0	3232.0
Engineering Industrial	451.0	712.0	707.0	861.0	973.0	1121.0	1305.0	1545.0	2179.0	2541.0	3036.0
Engineering Manufacturing	644.0	932.0	1220.0	1335.0	1736.0	2102.0	2531.0	2947.0	3343.0	3478.0	4048.0
Engineering Marine		85.0	137.0	187.0	317.0	357.0	509.0	665.0	1003.0	1272.0	1864.0
Engineering Mechanical	2413.0	2997.0	3982.0	4854.0	5971.0	7323.0	8437.0	9169.0	11675.0	10701.0	13424.0
Engineering Multidisciplinary	1772.0	2413.0	3117.0	3578.0	4026.0	3710.0	4260.0	5774.0	8217.0	10338.0	11256.0
Engineering Ocean	139.0	163.0	237.0	289.0	368.0	461.0	565.0	753.0	1125.0	1420.0	2126.0
Engineering Petroleum	291.0	389.0	492.0	510.0	524.0	594.0	739.0	944.0	1227.0	1227.0	1621.0
Entomology	560.0	604.0	643.0	844.0	856.0	833.0	955.0	970.0	1361.0	1503.0	1599.0
Environmental Sciences	5225.0	5736.0	7136.0	8285.0	10398.0	13102.0	15161.0	21089.0	29126.0	35716.0	43649.0
Environmental Studies	333.0	376.0	482.0	702.0	839.0	1133.0	1766.0	2844.0	3966.0	4225.0	5340.0
Ergonomics					131.0	176.0			273.0	309.0	359.0
Evolutionary Biology	335.0	417.0	506.0	583.0	592.0	550.0	625.0	646.0	865.0	897.0	979.0
Family Studies										394.0	341.0
Fisheries	541.0	528.0	767.0	704.0	890.0	1161.0	1277.0	1375.0	1868.0	1993.0	2211.0
Food Science Technology	2078.0	2784.0	3270.0	3854.0	4315.0	4397.0	6893.0	6235.0	8489.0	9689.0	13786.0
Forestry	254.0	301.0	395.0	438.0	612.0	690.0	760.0	1029.0	1503.0	1481.0	1854.0
Gastroenterology Hepatology	1781.0	2236.0	3551.0	2636.0	2585.0	2323.0	2461.0	2856.0	3697.0	3709.0	4041.0
