	安徽农业大学	北京林业大学	北京农学院	中南林业科技大学	中国农业大学	大连海洋大学	福建农林大学	甘肃农业大学	广东海洋大学	河北农业大学	黑龙江八一农垦大学	河南农业大学	河南牧业经济学院	华中农业大学	湖南农业大学	内蒙古农业大学	江西农业大学	吉林农业科技学院	吉林农业大学	南京农业大学	南京林业大学	东北农业大学	东北林业大学	西北农林科技大学	青岛农业大学	山东农业大学	上海海洋大学	山西农业大学	沈阳农业大学	四川农业大学	华南农业大学	西南林业大学	天津农学院	西藏农牧学院	新疆农业大学	信阳农林学院	云南农业大学	浙江农林大学	浙江海洋大学	仲恺农业工程学院
2011	140	381	43	100	1649	50	157	67	104	158	50	160		890	205	101	82		137	819	199	276	368	958	113	379	198	70	118	357	604	7	37	10	41		142	206	81	60
2012	175	514	39	102	1839	82	185	97	119	160	80	211		975	215	126	116	1.0	189	1027	259	306	440	1070	174	440	251	84	118	416	730	9	35	9	39		165	215	78	46
2013	200	676	54	152	1833	92	234	76	118	173	96	219	2.0	1013	267	117	149		196	1192	353	370	477	1421	243	486	295	124	192	491	742	80	56	14	40		126	278	97	54
2014	260	854	55	196	1966	112	356	127	138	196	90	242	6.0	1132	248	154	199	1.0	285	1529	403	468	524	1566	294	529	325	139	192	615	810	98	63	11	61		161	335	142	51
2015	347	970	120	215	2141	144	552	152	144	220	120	326	23.0	1445	358	195	224		303	1776	585	523	565	1780	340	566	444	194	256	682	876	85	66	16	79		188	360	187	64
2016	388	1054	112	202	2270	184	723	174	181	283	163	371	25.0	1748	497	203	259	5.0	352	2015	680	624	639	2134	406	620	603	234	331	854	1120	119	86	14	92	1.0	188	364	272	85
2017	463	1077	125	276	2515	186	884	205	229	348	160	396	35.0	1855	514	246	260	15.0	420	2174	768	735	704	2153	441	673	520	292	443	909	1403	173	108	67	131	7.0	190	431	249	93
2018	582	1275	141	360	2974	219	1198	277	290	363	183	552	53.0	2041	645	314	277	28.0	464	2391	1139	902	801	2636	537	820	646	309	498	1076	1676	226	108	89	112	29.0	241	505	340	149
2019	757	1547	158	555	3547	261	1571	374	488	512	264	693	98.0	2533	865	399	509	49.0	615	2834	2013	1185	1078	3168	696	1026	801	398	658	1382	2188	310	149	114	175	38.0	311	691	388	257
2020	824	1609	186	675	3834	250	1585	454	610	613	307	1063	121.0	2753	933	505	595	60.0	752	2924	2680	1357	1236	3328	938	1268	992	577	767	1548	2503	353	192	122	219	51.0	393	803	400	405
2021	994	1928	195	776	4546	280	1609	619	794	759	335	1170	146.0	3151	1099	565	785	71.0	823	3219	3385	1667	1504	4075	1092	1333	1217	641	819	1721	2655	443	215	114	348	71.0	451	1006	540	558
